Sentence	dislocated NP	dislocated determiner	nuclear pronoun
So there was always room to run down there and do some work for somebody else and earn a few shillings , that road .	that road	that	there
And it didnt do any harm at all , that lump .	that lump	that	it
Right, can you (pause) put that away somewhere , that sheet .	that sheet	that	that
I thought companies were ensuring that you wouldnt take that on , that stress .	that stress	that	that
Hell have panicked if I know him , that Warden .	that Warden	that	he
They always had money , that sort .	that sort	that	they
Hes got backbone , that boy .	that boy	that	he
It had pleased him , that discovery .	that discovery	that	it
He just would not diversify , that boy .	that boy	that	he
She had it coming to her , that girl .	that girl	that	she
Its a right camel , that horse .	that horse	that	horse
They looked like King Kong and Fay Wray, that hand , that cigarette .	that hand	that	they
They looked like King Kong and Fay Wray, that hand , that cigarette .	that cigarette	that	they
They lived in a world of their own , that lot .	that lot	that	they
Been on the cards for ages , that wedding .	that wedding	that	NULL
It was a real success , that party .	that party	that	it
Certainly knows a thing or two , that chap .	that chap	that	NULL
Just like a ferret , that man .	that man	that	NULL
It was queer , that difference .	that difference	that	it
He was right about one thing, though , that priest .	that priest	that	he
Out of time and place , that spot .	that spot	that	NULL
He has manner , that boy .	that boy	that	he
It is very carefully and very strictly planned , that Ritual .	that Ritual	that	it
They dont care if it snows , that pair .	that pair	that	they
Red and dangerous , that suitcase .	that suitcase	that	NULL
Very polite and correct, that officer , that day .	that officer	that	NULL
So bright, so indifferent , that moon .	that moon	that	NULL
Shes a great organiser , that girl .	that girl	that	she
He was very long-winded , that padre .	that padre	that	he
We must try that again at lunchtime , that trick .	that trick	that	that
I wont sacrifice that , that idea .	that idea	that	that
Makes a good cup of coffee , that girl .	that girl	that	NULL
And it had a sort of smell , that room .	that room	that	it
Didnt sell as well as it ought to have , that book .	that book	that	NULL
It had done a lot , that hand .	that hand	that	it
A trifle premature, maam , that adjective .	that adjective	that	NULL
They think Im blimming Mary Poppins , that lot .	that lot	that	they
Come in very handy , that spread .	that spread	that	NULL
It was magnificent in its way , that plan .	that plan	that	it
Hangs about for a long time , that smell .	that smell	that	NULL
Very literal-minded lad , that lad .	that lad	that	NULL
She is cunning , that girl .	that girl	that	she
Hes keen , that lad .	that lad	that	he
Its no good , that business .	that business	that	it
Altogether more of a Second Empire kind of guzzle than a Roman treat , that invention .	that invention	that	NULL
Clarified in fact is what it is, or should be , that butter .	that butter	that	it
