StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A,1a-nd_1,2b-nd_1,3a-rd_1,4b-rd_1,5a-nd_1,6b-nd_1,7a-rd_1,8b-rd_1,1b-nd_1,2a-nd_1,3b-rd_1,4a-rd_1,5b-nd_1,6a-nd_1,7b-rd_1,8a-rd_1,1a-rd_1,2b-rd_1,3a-nd_1,4b-nd_1,5a-rd_1,6b-rd_1,7a-nd_1,8b-nd_1,1b-rd_1,2a-rd_1,3b-nd_1,4a-nd_1,5b-rd_1,6a-rd_1,7b-nd_1,8a-nd_1,i,ii,iii,iv,iv_1_TEXT,v
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am doing research on British English. I may publish and/or present my findings during
conference presentations based on the conversations we have. I am going to ask you for
your intuitions about whether sentences sound natural in particular contexts. You can skip
questions that make you uncomfortable or that you don’t want to answer. Your participation
will consist of completing a ten- to twenty-minute questionnaire. You will receive
£3 for your participation. The general benefit of this project is an increased understanding
of understudied constructions in British English. If you decide that you do not want to
participate anymore, you will not lose any benefit or receive any penalty. Also, there is no
risk or discomfort in participating. All of the information taken will remain confidential.
Participation is voluntary and you may stop at any time without penalty or loss of benefits.
May I interview you?","Diana is a first-year grad student who is presenting her research to the professors in her department. One of the professors, Dr. Smith, is very easily pleased when it comes to new students’ work and always gives the students positive comments on even fairly mediocre presentations. After Diana leaves, another professor, Dr. Brown, approaches Dr. Smith and says, “That Diana’s a smart cookie.”How natural would you rate what Dr. Brown said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jack, who has just returned from a trip to Italy, is having a conversation with his Aunt Agatha. Agatha travelled to Italy once in her youth and has since never stopped raving about what a lovely time she had and how nice the people she met there were. During his stay in Italy, Jack was unexpectedly ill and stayed in an Italian hospital for several days. He tells Agatha, “It really could have gone much worse. Everyone was incredibly hospitable. The Italians are wonderful people.”How natural would you rate what Jack said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Rosemary and her husband Geoff are out shopping for Christmas presents. Their thirteen-year-old son, Carl, is an avid reader and is particularly fond of fantasy novels. In a bookstore, Rosemary and Geoff come across a copy of Lord of the Rings, which they love but Carl hasn’t read yet. Rosemary points to the book and says to Geoff, “That looks like a good book for Carl, that one.”How natural would you rate what Rosemary said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Tim and his father go to watch the latest Harry Potter film at the cinema. Tim is a teenager and more of a fan of horror films, but he goes with his dad for family bonding. As they leave the cinema, his father remarks, “That was a scary film, that one.”How natural would you rate what Tim's father said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Billy and Gemma go on a date to their favorite restaurant for their first anniversary. Gemma’s particular favorite dish the at this restaurant is the spaghetti carbonara, so they order it to share for their special occasion. After dinner, Billy says, “That was a tasty dish.”How natural would you rate what Billy said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Jeremy and Theresa are at a couple’s wine tasting. Jeremy is incredibly picky and absolutely hates English wines. The two of them taste a rosé made in Sussex. Once they’ve both tasted it, Theresa turns to Jeremy and says, “That rosé was a good wine.”How natural would you rate what Theresa said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Sandra is visiting her elderly mother. Sandra’s mother often
complains to her about how the local children are a bunch of hooligans who
always get into trouble. As the two of them are talking in the kitchen, Sandra sees
some neighborhood kids clustered around a neighbor’s car. She says to her
mother, “I bet they’re up to no good, those kids.”How natural would you rate what Sandra said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Henry and Bob are brothers and are working together to build their niece a treehouse. Henry works as a builder and has a lot of experience with construction work, while Bob works as an accountant and isn’t particularly used to manual labor. After a few hours of work, Bob needs to take a break. Henry has barely broken a sweat and is clearly enjoying himself. Bob turns and says to Henry, “Not easy, this stuff.”How natural would you rate what Bob said on a scale from 1-6, with 1 beingsomething no one would ever say, and 6 being something completely natural?","Diana is a first year grad student who is presenting her research to the professors in her department. One of the professors, Dr. Smith, has very high expectations of new students and tends to be incredibly critical of their work, criticizing even the best of presentations. After Diana leaves, another professor, Dr. Brown, approaches Dr. Smith and says, “That Diana’s a smart cookie.”How natural would you rate what Dr. Brown said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jack, who has just returned from a trip to Italy, is having a conversation with his Aunt Agatha. Agatha travelled to Italy once in her youth and has since never stopped raving about what a lovely time she had and how nice the people she met there were. During his stay in Italy, Jack was unexpectedly ill and stayed in an Italian hospital for several days. He tells Agatha, “It really could have gone much worse. Everyone was incredibly hospitable. The Italians are wonderful people.”How natural would you rate what Jack said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Rosemary and her husband Geoff are out shopping for Christmas presents. Their thirteen-year-old son, Carl, is an avid reader and is particularly fond of fantasy novels. Geoff doesn’t want Carl to read more fantasy novels. In a bookstore, they come across a copy of A Game of Thrones. Rosemary points to the book and says to Geoff, “That looks like a good book for Carl, that one.”How natural would you rate what Rosemary said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Tim and his father go to watch a horror film at the cinema. Tim is a fairly timid child and tends to be a bit easily frightened. As they leave the cinema, his father remarks, “That was a scary film, that one.”How natural would you rate what Tim's father said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Billy and Gemma go on a date to their favorite restaurant for their first anniversary. Billy, who is feeling adventurous, orders them the chef’s surprise to share. Gemma isn’t a particularly picky eater, but really dislikes any type of seafood.  When the dish arrives, it just so happens to contain prawns. After dinner, Billy says, “That was a tasty dish.”How natural would you rate what Bill said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jeremy and Theresa are at a couple’s wine tasting. Jeremy loves wine, and Theresa knows he enjoys pretty much any wine. The two of them taste a fine French rosé that is renowned as one of the best. Once they’ve both tasted it, Theresa turns to Jeremy and says, “That rosé was a good wine.”How natural would you rate what Theresa said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Sandra is visiting her elderly mother. Sandra’s mother frequently compliments the local children, telling Sandra about how helpful, kind, and well-mannered they are. As the two of them are talking in the kitchen, Sandra sees some neighborhood kids clustered around a neighbor’s car. She says to her mother, “I bet they’re up to no good, those kids.”How natural would you rate what Sandra said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Henry and Bob are brothers and are working together to build their niece a treehouse. Henry works as a builder and has a lot of experience with construction work, while Bob works as an accountant and isn’t at all used to manual labor. After a few hours of work, Henry notices that Bob is having a hard time. He turns and says to Bob, “Not easy, this stuff.”How natural would you rate what Bob said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Diana is a first-year grad student who is presenting her research to the professors in her department. One of the professors, Dr. Smith, is very easily pleased when it comes to new students’ work and always gives the students positive comments on even fairly mediocre presentations. After Diana leaves, another professor, Dr. Brown, approaches Dr. Smith and says, “She’s a smart cookie, that Diana.”How natural would you rate what Dr. Brown said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jack, who has just returned from a trip to Italy, is having a conversation with his Aunt Agatha. Agatha travelled to Italy once in her youth and has since never stopped raving about what a lovely time she had and how nice the people she met there were. During his stay in Italy, Jack was unexpectedly ill and stayed in an Italian hospital for several days. He tells Agatha, “It really could have gone much worse. Everyone was incredibly hospitable. They’re wonderful people, the Italians.”How natural would you rate what Jack said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Rosemary and her husband Geoff are out shopping for Christmas presents. Their thirteen-year-old son, Carl, is an avid reader and is particularly fond of fantasy novels. In a bookstore, Rosemary and Geoff come across a copy of Lord of the Rings, which they love but Carl hasn’t read yet. Rosemary points to the book and says to Geoff, “That one looks like a good book for Carl.”How natural would you rate what Rosemary said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Tim and his father go to watch the latest Harry Potter film at the cinema. Tim is a teenager and more of a fan of horror films, but he goes with his dad for family bonding. As they leave the cinema, his father remarks, “That was a scary film.”How natural would you rate what Tim's father said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Billy and Gemma go on a date to their favorite restaurant for their first anniversary. Gemma’s particular favorite dish the at this restaurant is the spaghetti carbonara, so they order it to share for their special occasion. After dinner, Billy says, “That was a tasty dish, that one.”How natural would you rate what Billy said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jeremy and Theresa are at a couple’s wine tasting. Jeremy is incredibly picky and absolutely hates English wines. The two of them taste a rosé made in Sussex. Once they’ve both tasted it, Theresa turns to Jeremy and says, “That was a good wine, the rosé.”How natural would you rate what Theresa said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Sandra is visiting her elderly mother. Sandra’s mother often
complains to her about how the local children are a bunch of hooligans who
always get into trouble. As the two of them are talking in the kitchen, Sandra sees
some neighborhood kids clustered around a neighbor’s car. She says to her
mother, “I bet those kids are up to no good.”How natural would you rate what Sandra said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Henry and Bob are brothers and are working together to build their niece a treehouse. Henry works as a builder and has a lot of experience with construction work, while Bob works as an accountant and isn’t particularly used to manual labor. After a few hours of work, Bob needs to take a break. Henry has barely broken a sweat and is clearly enjoying himself. Bob turns and says to Henry, “This stuff is not easy.”How natural would you rate what Bob said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Diana is a first year grad student who is presenting her research to the professors in her department. One of the professors, Dr. Smith, has very high expectations of new students and tends to be incredibly critical of their work, criticizing even the best of presentations. After Diana leaves, another professor, Dr. Brown, approaches Dr. Smith and says, “She’s a smart cookie, that Diana.”How natural would you rate what Dr. Brown said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jack, who has just returned from a trip to Italy, is having a conversation with his Aunt Agatha. Agatha travelled to Italy once in her youth and has since never stopped raving about what a lovely time she had and how nice the people she met there were. During his stay in Italy, Jack was unexpectedly ill and stayed in an Italian hospital for several days. He tells Agatha, “It really could have gone much worse. Everyone was incredibly hospitable. They’re wonderful people, the Italians.”How natural would you rate what Jack said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Rosemary and her husband Geoff are out shopping for Christmas presents. Their thirteen-year-old son, Carl, is an avid reader and is particularly fond of fantasy novels. Geoff doesn’t want Carl to read more fantasy novels. In a bookstore, they come across a copy of A Game of Thrones. Rosemary points to the book and says to Geoff, “That one looks like a good book for Carl.”How natural would you rate what Rosemary said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Tim and his father go to watch a horror film at the cinema. Tim is a fairly timid child and tends to be a bit easily frightened. As they leave the cinema, his father remarks, “That was a scary film.”How natural would you rate what Tim's father said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Billy and Gemma go on a date to their favorite restaurant for their first anniversary. Billy, who is feeling adventurous, orders them the chef’s surprise to share. Gemma isn’t a particularly picky eater, but really dislikes any type of seafood.  When the dish arrives, it just so happens to contain prawns. After dinner, Billy says, “That was a tasty dish, that one.”How natural would you rate what Billy said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Jeremy and Theresa are at a couple’s wine tasting. Jeremy loves wine, and Theresa knows he enjoys pretty much any wine. The two of them taste a fine French rosé that is renowned as one of the best. Once they’ve both tasted it, Theresa turns to Jeremy and says, “That was a good wine, the rosé.”How natural would you rate what Theresa said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Sandra is visiting her elderly mother. Sandra’s mother frequently compliments the local children, telling Sandra about how helpful, kind, and well-mannered they are. As the two of them are talking in the kitchen, Sandra sees some neighborhood kids clustered around a neighbor’s car. She says to her mother, “I bet those kids are up to no good.”How natural would you rate what Sandra said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?","Henry and Bob are brothers and are working together to build their niece a treehouse. Henry works as a builder and has a lot of experience with construction work, while Bob works as an accountant and isn’t at all used to manual labor. After a few hours of work, Henry notices that Bob is having a hard time. He turns and says to Bob, “This stuff is not easy.”How natural would you rate what Bob said on a scale from 1-6, with 1 being something no one would ever say, and 6 being something completely natural?",What is your gender?,How old are you?,Which region(s) of the United Kingdom did you grow up in?,"Did you grow up speaking any language(s) other than English? If so, which language(s)? - Selected Choice","Did you grow up speaking any language(s) other than English? If so, which language(s)? - Yes - Text",Do you have any comments or questions about this survey?
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_1_TEXT""}","{""ImportId"":""QID55_TEXT""}"
2017-08-02 06:15:57,2017-08-02 06:24:36,IP Address,2.102.36.215,100,518,True,2017-08-02 06:24:37,R_1QuudNpfG7tUe2N,,,,,53.36669921875,-1.5,anonymous,EN,Yes,,,,,,,,,,,,,,,,,2,2,5,1,1,2,4,2,,,,,,,,,Male,18 - 24,Sheffield (South Yorkshire),Yes,Klingon,
2017-08-02 09:24:26,2017-08-02 09:30:33,IP Address,2.102.36.215,100,366,True,2017-08-02 09:30:34,R_1qgNrykQREAoJqA,,,,,53.36669921875,-1.5,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,5,4,3,4,2,Female,18 - 24,Cheshire,No,,
2017-08-02 09:31:05,2017-08-02 09:39:37,IP Address,2.102.36.215,100,512,True,2017-08-02 09:39:38,R_2dFnAIsIuHWXhqy,,,,,53.36669921875,-1.5,anonymous,EN,Yes,3,3,5,3,2,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,Male,18 - 24,North Wales,Yes,Welsh,
2017-08-02 12:05:13,2017-08-02 12:19:13,IP Address,2.102.36.215,100,840,True,2017-08-02 12:19:14,R_3dQi6blTYErjkIq,,,,,53.36669921875,-1.5,anonymous,EN,Yes,,,,,,,,,2,2,2,1,3,5,5,5,,,,,,,,,,,,,,,,,Male,18 - 24,"Lancashire, then South Yorkshire.",No,,"Ending sentences with "" , that one"" or ""those kids"" is a lot more common in the north of England, compared to the south. In the wine example ""was a good wine"" seems a clunky end, ""that rose was good""would be more reasonable."
2017-08-03 13:05:47,2017-08-03 13:11:44,IP Address,86.1.35.190,100,357,True,2017-08-03 13:11:45,R_8cQogiPbw0ghKnf,,,,,53.216705322266,-0.56669616699219,anonymous,EN,Yes,,,,,,,,,5,4,5,6,5,2,5,5,,,,,,,,,,,,,,,,,Female,18 - 24,"Lincolnshire, East Midlands ",No,,
2017-08-03 13:41:16,2017-08-03 13:45:13,IP Address,77.97.82.68,100,237,True,2017-08-03 13:45:14,R_3QJWt15ouoSAZCB,,,,,54.931304931641,-1.5854949951172,anonymous,EN,Yes,5,6,5,5,1,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,North east,Yes,"French ","N/A
"
2017-08-03 13:43:05,2017-08-03 13:46:51,IP Address,31.48.206.157,100,226,True,2017-08-03 13:46:52,R_OPxDUAtXcNf58RP,,,,,52.424194335938,-1.4638061523438,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,1,6,6,4,Male,18 - 24,"Coventry, West Midlands",No,,Very interesting! Good luck :)
2017-08-03 14:03:11,2017-08-03 14:13:58,IP Address,2.223.22.1,100,646,True,2017-08-03 14:13:59,R_40dO8sF8pv2Q1yN,,,,,51.733306884766,0.48330688476562,anonymous,EN,Yes,,,,,,,,,,,,,,,,,6,6,6,4,5,6,6,6,,,,,,,,,Female,18 - 24,Essex,No,,
